filepath,date,experiment_code,plate_number,well_number,scan_info,S,X,Y,I,filename,classification
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix07/plate1_B06/matrix_scan01/AR_CS_0708_Matrix07_P1_B6_ S-01 X-01 Y-01 I-001.txt,20240709,AR_CS_0708_Matrix07,plate1,B06,matrix_scan01,S-01,X-01,Y-01,I-001,AR_CS_0708_Matrix07_P1_B6_ S-01 X-01 Y-01 I-001.txt,1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix07/plate1_B06/matrix_scan01/AR_CS_0708_Matrix07_P1_B6_ S-01 X-02 Y-01 I-001.txt,20240709,AR_CS_0708_Matrix07,plate1,B06,matrix_scan01,S-01,X-02,Y-01,I-001,AR_CS_0708_Matrix07_P1_B6_ S-01 X-02 Y-01 I-001.txt,0
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix07/plate1_B06/matrix_scan01/AR_CS_0708_Matrix07_P1_B6_ S-01 X-02 Y-02 I-001.txt,20240709,AR_CS_0708_Matrix07,plate1,B06,matrix_scan01,S-01,X-02,Y-02,I-001,AR_CS_0708_Matrix07_P1_B6_ S-01 X-02 Y-02 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix07/plate1_B06/matrix_scan01/AR_CS_0708_Matrix07_P1_B6_ S-01 X-01 Y-02 I-001.txt,20240709,AR_CS_0708_Matrix07,plate1,B06,matrix_scan01,S-01,X-01,Y-02,I-001,AR_CS_0708_Matrix07_P1_B6_ S-01 X-01 Y-02 I-001.txt,-1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix07/plate1_B08/matrix_scan01/AR_CS_0708_Matrix07_P1_B8_ S-01 X-01 Y-02 I-001.txt,20240709,AR_CS_0708_Matrix07,plate1,B08,matrix_scan01,S-01,X-01,Y-02,I-001,AR_CS_0708_Matrix07_P1_B8_ S-01 X-01 Y-02 I-001.txt,1
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix07/plate1_B08/matrix_scan01/AR_CS_0708_Matrix07_P1_B8_ S-01 X-02 Y-02 I-001.txt,20240709,AR_CS_0708_Matrix07,plate1,B08,matrix_scan01,S-01,X-02,Y-02,I-001,AR_CS_0708_Matrix07_P1_B8_ S-01 X-02 Y-02 I-001.txt,0
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix07/plate1_B08/matrix_scan01/AR_CS_0708_Matrix07_P1_B8_ S-01 X-02 Y-01 I-001.txt,20240709,AR_CS_0708_Matrix07,plate1,B08,matrix_scan01,S-01,X-02,Y-01,I-001,AR_CS_0708_Matrix07_P1_B8_ S-01 X-02 Y-01 I-001.txt,0
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix07/plate1_B08/matrix_scan01/AR_CS_0708_Matrix07_P1_B8_ S-01 X-01 Y-01 I-001.txt,20240709,AR_CS_0708_Matrix07,plate1,B08,matrix_scan01,S-01,X-01,Y-01,I-001,AR_CS_0708_Matrix07_P1_B8_ S-01 X-01 Y-01 I-001.txt,0
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix07/plate1_D03/matrix_scan01/AR_CS_0708_Matrix07_P1_D3_ S-01 X-01 Y-01 I-001.txt,20240709,AR_CS_0708_Matrix07,plate1,D03,matrix_scan01,S-01,X-01,Y-01,I-001,AR_CS_0708_Matrix07_P1_D3_ S-01 X-01 Y-01 I-001.txt,0
2024_07_08_ChemspeedSamples/20240709_AR_CS_0708_Matrix07/plate1_D03/matrix_scan01/AR_CS_0708_Matrix07_P1_D3_ S-01 X-02 Y-01 I-001.txt,20240709,AR_CS_0708_Matrix07,plate1,D03,matrix_scan01,S-01,X-02,Y-01,I-001,AR_CS_0708_Matrix07_P1_D3_ S-01 X-02 Y-01 I-001.txt,0
